ID,Airline,PeakTime,Destination,Purpose,Transportation,Problem,Satisfaction,NetPromoter,NPS,Food,Store,Restroom,Safety,Cleanliness,Gender,Age,Income,FreqFlyer,MemberPremiumClear,Language
3025,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,5,10,Promoters,5,5,5,5,NA,Female,35-44,"less than $50,000",Yes,No,English
3026,UNITED,Domestic Offpeak,U.S. West,Business,Uber/Lyft,NA,5,10,Promoters,5,5,5,5,5,Male,25-34,NA,No,No,English
3027,ALASKA,Domestic Offpeak,U.S. West,Vacation,Uber/Lyft,NA,4,8,Passives,4,NA,3,4,3,Male,18-24,"$150,000 or higher",No,No,English
3028,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,3,6,Detractors,NA,3,3,5,3,Male,18-24,"$150,000 or higher",Yes,NA,English
3029,AMERICAN,Domestic Offpeak,U.S. Midwest,Vacation,Uber/Lyft,NA,5,10,Promoters,NA,5,5,5,5,Female,25-34,"$50,000-$100,000",No,No,English
3030,UNITED,Domestic Offpeak,U.S. West,NA,Connect from another flight,NA,5,11,NA,NA,NA,3,4,4,Male,18-24,NA,NA,No,English
3031,AMERICAN,Domestic Offpeak,U.S. Midwest,Business,Rental Car,NA,4,9,Promoters,NA,NA,4,5,5,Male,35-44,"$150,000 or higher",No,No,English
3032,UNITED,Domestic Offpeak,U.S. West,Business,Drove,NA,3,5,Detractors,2,2,3,4,3,Male,45-54,"$150,000 or higher",No,No,English
3033,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,4,8,Passives,3,3,3,4,4,Female,45-54,"less than $50,000",No,No,English
3034,AMERICAN,Domestic Offpeak,U.S. Midwest,Business,Rental Car,NA,5,10,Promoters,5,5,5,NA,5,Male,45-54,"$150,000 or higher",Yes,No,English
3035,UNITED,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,NA,4,6,Detractors,NA,3,5,4,4,Female,65 and over,"$50,000-$100,000",No,No,English
3036,AMERICAN,Domestic Offpeak,U.S. Midwest,Visit friends,Dropped off,NA,NA,8,Passives,4,4,4,3,4,Female,45-54,"$100,001-$150,000",No,No,English
3037,AMERICAN,Domestic Offpeak,U.S. Midwest,Visit friends,Drove,NA,5,10,Promoters,5,5,5,5,5,Female,18-24,NA,No,NA,English
3038,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,4,7,Passives,3,NA,4,4,4,Male,55-64,"less than $50,000",No,No,English
3039,UNITED,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,SEE #12 + #8 FOR EXPLANATION,NA,1,Detractors,NA,4,3,5,3,Female,65 and over,"$50,000-$100,000",No,No,English
3040,AMERICAN,Domestic Offpeak,U.S. Midwest,Visit friends,Uber/Lyft,NA,4,7,Passives,NA,NA,4,5,4,Female,NA,NA,No,No,English
3041,AMERICAN,Domestic Offpeak,U.S. Midwest,Business,Dropped off,NA,4,10,Promoters,4,4,3,5,4,Male,45-54,"$100,001-$150,000",No,No,English
3042,UNITED,Domestic Offpeak,U.S. West,Visit friends,Connect from another flight,NA,5,10,Promoters,5,5,5,5,5,Female,55-64,"$100,001-$150,000",No,No,English
3043,AMERICAN,Domestic Offpeak,U.S. Midwest,Visit friends,Drove,NA,4,8,Passives,4,3,4,5,4,Male,65 and over,"$50,000-$100,000",No,No,English
3044,UNITED,Domestic Offpeak,U.S. West,Vacation,Connect from another flight,NA,3,6,Detractors,3,NA,3,4,3,Female,35-44,"$50,000-$100,000",NA,No,English
3045,AMERICAN,Domestic Offpeak,U.S. Midwest,Vacation,Dropped off,NA,NA,7,Passives,4,4,4,4,4,Female,35-44,"$50,000-$100,000",Yes,No,Spanish
3046,AMERICAN,Domestic Peak,U.S. West,Vacation,Dropped off,NA,5,8,Passives,NA,NA,2,5,3,NA,NA,NA,NA,NA,English
3047,AMERICAN,Domestic Peak,U.S. West,Visit friends,Hotel Shuttle,NA,4,8,Passives,4,4,3,4,3,Female,45-54,"$50,000-$100,000",Yes,NA,English
3048,PHILIPPINE AIRLINES,International,Asia,Visit friends,Van,NA,4,10,Promoters,3,3,4,5,4,Female,55-64,"less than $50,000",Yes,No,English
3049,AMERICAN,Domestic Peak,U.S. West,Vacation,BART,NA,5,10,Promoters,2,3,NA,5,5,Female,55-64,"$50,000-$100,000",No,No,English
3050,AMERICAN,Domestic Peak,U.S. West,Vacation,BART,NA,5,10,Promoters,2,3,NA,5,5,Male,65 and over,"$50,000-$100,000",No,No,English
3051,PHILIPPINE AIRLINES,International,Asia,Visit friends,Dropped off,NA,4,8,Passives,3,3,2,4,3,Female,25-34,"$150,000 or higher",No,No,English
3052,AMERICAN,Domestic Peak,U.S. East,Vacation,Uber/Lyft,NA,4,9,Promoters,4,3,4,4,5,Female,35-44,"less than $50,000",No,NA,English
